HAGRID,Kingdom,Phylum,Class,Order,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Adult weight (g),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,Temperature (K)
466,Animalia,Chordata,Aves,Charadriiformes,Herring gull,1825,1460,26,3,1,,67.5,1094,49,unknown,medium,acceptable,
1495,Animalia,Chordata,Aves,Psittaciformes,Blue-fronted amazon,,,,,,,,451,49,captivity,large,acceptable,
1498,Animalia,Chordata,Aves,Psittaciformes,Yellow-naped parrot,,,,,,,,432.16,49,captivity,medium,acceptable,
571,Animalia,Chordata,Aves,Ciconiiformes,Oriental white stork,1278,1460,,,,,,4850.5,48.1,captivity,medium,acceptable,
2309,Animalia,Chordata,Mammalia,Cetacea,Gervais's beaked whale,,,,,,,,5600000,48,wild,medium,acceptable,
4258,Animalia,Chordata,Teleostei,Perciformes,Murray cod,,,,,,,,62000,48,wild,medium,acceptable,
3259,Animalia,Chordata,Reptilia,Crocodilia,Cuban crocodile,,,,,,,,57500,48,captivity,medium,acceptable,
1879,Animalia,Chordata,Coelacanthi,Coelacanthiformes,"West Indian ocean coelacanth, or Coelacanth",,,,,,,,52250,48,wild,medium,acceptable,
224,Animalia,Chordata,Aves,Accipitriformes,Golden eagle,1460,1460,40,2,1,,110.6,4800,48,captivity,medium,acceptable,
259,Animalia,Chordata,Aves,Accipitriformes,Bald eagle,1460,1460,35,2,1,,,3175,48,captivity,large,acceptable,
2234,Animalia,Chordata,Mammalia,Carnivora,Harbor seal,1095,1460,253,1,1,365,11000,115000,47.6,captivity,medium,acceptable,309.85
3502,Animalia,Chordata,Reptilia,Squamata,Cayman rock iguana,2009,2009,40,,,,,4100,47.6,captivity,medium,acceptable,
3548,Animalia,Chordata,Reptilia,Squamata,Ball python,1825,1825,77,7,,,,8858,47.5,captivity,large,acceptable,
1451,Animalia,Chordata,Aves,Procellariiformes,Grey-headed albatross,4383,,,,,,,3753,47.2,wild,medium,acceptable,
2676,Animalia,Chordata,Mammalia,Primates,Central American spider monkey,1825,1826,232,1,0.3,970,426,7267.5,47.1,captivity,large,acceptable,
2296,Animalia,Chordata,Mammalia,Cetacea,Melon-headed whale,4290,2465,365,1,,,,206000,47,wild,medium,acceptable,
2636,Animalia,Chordata,Mammalia,Perissodactyla,African wild ass,708,1005,359,1,,,30000,164998,47,captivity,large,high,
3251,Animalia,Chordata,Reptilia,Crocodilia,American crocodile,3652,,,,,,,76700,47,captivity,medium,acceptable,
3899,Animalia,Chordata,Teleostei,Cypriniformes,Common carp,1095,1095,4,300000,,,,10600,47,captivity,large,acceptable,
3687,Animalia,Chordata,Reptilia,Testudines,Common snapping turtle,3285,2646,,,,,,10250,47,wild,medium,acceptable,
1466,Animalia,Chordata,Aves,Procellariiformes,Southern giant petrel,2445,,,,,,,3697.5,47,wild,small,acceptable,
307,Animalia,Chordata,Aves,Anseriformes,Greater white-fronted goose,1095,1095,27,5,1,,90.3,2681,47,captivity,medium,acceptable,
2705,Animalia,Chordata,Mammalia,Primates,Weeping capuchin,2190,,162,1,0.5,792,,2552.5,47,captivity,medium,acceptable,
1600,Animalia,Chordata,Aves,Psittaciformes,Kea,,,,,,,,867.5,47,captivity,medium,acceptable,
1551,Animalia,Chordata,Aves,Psittaciformes,Long-billed black cockatoo,,,,,,,,620,47,captivity,small,acceptable,
1546,Animalia,Chordata,Aves,Psittaciformes,Little corella,,,,,,,,350,46.9,captivity,medium,acceptable,
1720,Animalia,Chordata,Aves,Suliformes,Australian pied cormorant,,,,,,,,1715,46.4,wild,large,acceptable,
1869,Animalia,Chordata,Chondrostei,Acipenseriformes,Sterlet,2129,1460,,,,,,8800,46.1,captivity,medium,acceptable,
2800,Animalia,Chordata,Mammalia,Primates,Crested gibbon,3080,,207,1,,821,,6852.5,46.1,captivity,small,acceptable,
2300,Animalia,Chordata,Mammalia,Cetacea,Pantropical spotted dolphin,2983,3956,345,1,0.3,1123,10000,112500,46,wild,medium,acceptable,
2293,Animalia,Chordata,Mammalia,Cetacea,Pacific white-sided dolphin,3832,,320,1,,,14000,103000,46,captivity,small,acceptable,
2236,Animalia,Chordata,Mammalia,Carnivora,Ringed seal,1826,2191,251,1,1,365,6000,90000,46,captivity,tiny,acceptable,
1867,Animalia,Chordata,Chondrostei,Acipenseriformes,Russian sturgeon,5110,4380,,,,,,63250,46,wild,medium,acceptable,
2716,Animalia,Chordata,Mammalia,Primates,Red-capped mangabey,973,,167,1,0.9,457,,9492.5,46,captivity,medium,acceptable,
2678,Animalia,Chordata,Mammalia,Primates,Black spider monkey,1516,1280,229,1,0.5,1072,452.5,7887.5,46,captivity,medium,acceptable,
2675,Animalia,Chordata,Mammalia,Primates,Brown-headed spider monkey,1515,1826,227,1,0.5,882,400,7000,46,captivity,large,acceptable,
2709,Animalia,Chordata,Mammalia,Primates,Brown capuchin,1703,,158,1.5,0.6,671,239.7,2642.5,46,captivity,large,high,
1521,Animalia,Chordata,Aves,Psittaciformes,Military macaw,,,,,,,,1134,46,captivity,large,acceptable,
1469,Animalia,Chordata,Aves,Procellariiformes,Snow petrel,3945,,,,,,,268,46,wild,medium,acceptable,
1550,Animalia,Chordata,Aves,Psittaciformes,Banksian cockatoo,1454,,,,,,,723.7,45.4,captivity,medium,acceptable,
317,Animalia,Chordata,Aves,Anseriformes,Tufted duck,365,365,,,,,,701.5,45.2,wild,medium,acceptable,
2643,Animalia,Chordata,Mammalia,Perissodactyla,White rhinoceros,1643,1643,515,1,0.4,1009,52500,2175000,45,captivity,large,high,
281,Animalia,Chordata,Aves,Accipitriformes,California condor,2190,2190,57,1,2,,185.3,11175,45,wild,medium,acceptable,
2797,Animalia,Chordata,Mammalia,Primates,Silvery gibbon,2849,1825,243,1,0.4,730,,6207.5,45,captivity,medium,acceptable,
715,Animalia,Chordata,Aves,Gruiformes,White-naped crane,1095,1095,31,2,,,,5400,45,captivity,medium,acceptable,
1465,Animalia,Chordata,Aves,Procellariiformes,Southern fulmar,3726,,,,,,,795,45,wild,medium,acceptable,
414,Animalia,Chordata,Aves,Charadriiformes,Atlantic puffin,1460,1460,42,1,1,,39.7,490.5,45,wild,large,acceptable,
579,Animalia,Chordata,Aves,Ciconiiformes,Marabou,1460,1460,30,2,,,,8000,44.7,captivity,large,acceptable,
3749,Animalia,Chordata,Reptilia,Testudines,Scorpion mud turtle,3470,,,,,,,266,44.7,captivity,medium,acceptable,
222,Animalia,Chordata,Aves,Accipitriformes,Spanish imperial eagle,1767,,,,,,,3000,44.5,captivity,small,acceptable,
2801,Animalia,Chordata,Mammalia,Primates,"Northern white-cheeked gibbon, or White-cheeked gibbon",3069,,208,,,,497,6000,44.1,captivity,small,acceptable,
3257,Animalia,Chordata,Reptilia,Crocodilia,"Mugger, or Marsh crocodile",2313,3652,,,,,,42700,44,captivity,small,acceptable,
4010,Animalia,Chordata,Teleostei,Elopiformes,Oxeye,,,,,,,,9900,44,wild,medium,acceptable,
2677,Animalia,Chordata,Mammalia,Primates,White-whiskered spider monkey,1461,1826,141,,,,,6000,44,captivity,tiny,acceptable,
3707,Animalia,Chordata,Reptilia,Testudines,River cooter,2190,1277,,,,,,2992,44,captivity,medium,acceptable,
